hole_diameter_mm,model_count,mean_burden_m,median_burden_m,minimum_burden_m,maximum_burden_m,range_m
181.0,7,4.604860154431226,4.5249999999999995,3.9858389424621614,5.574669346794413,1.5888304043322514
191.0,7,4.827677383181876,4.775,4.20605103873079,5.785095929583533,1.5790448908527432
201.0,7,5.049151704036214,5.025,4.4262631349994175,5.992122157098482,1.5658590220990645
211.0,7,5.26931458306361,5.217769999999999,4.646475231268045,6.195968291824828,1.5494930605567827
221.0,7,5.488194061445676,5.3821699999999995,4.866687327536673,6.396830622033859,1.5301432944971856
231.0,7,5.705815265682309,5.54057,5.086899423805301,6.594885033224869,1.5079856094195678
241.0,7,5.922200823072948,5.692969999999999,5.307111520073929,6.790289916493914,1.4831783964199854
251.0,7,6.137371203249507,5.839369999999999,5.5273236163425565,6.983188559264405,1.4558649429218482
261.0,7,6.351345001336055,6.003,5.747535712611184,7.173711127404814,1.4261754147936294
271.0,7,6.5641391745601,6.2330000000000005,5.967747808879812,7.361976321507704,1.3942285126278922
281.0,7,6.775769241397998,6.463000000000001,6.18795990514844,7.594,1.4060400948515603
291.0,7,6.986249450305398,6.693,6.364969999999999,7.834,1.469030000000001
301.0,7,7.195592923560541,6.923,6.481369999999999,8.074,1.5926300000000007
311.0,7,7.403811780593751,7.153,6.5917699999999995,8.314,1.7222300000000006
