hole_diameter_mm,model_id,model_name,burden_m
181.0,CONV_ASH,Ash,4.5249999999999995
181.0,CONV_BHANDARI,Bhandari,5.193999999999999
181.0,CONV_JIMENO,Lopez Jimeno,4.163
181.0,CONV_KONYA_1972,Konya 1972,3.9858389424621614
181.0,CONV_KONYA_1983,Konya 1983,4.102942791762013
181.0,CONV_RUSTAN,Rustan,5.574669346794413
181.0,CONV_TATIYA,Tatiya–Al-Ajmi,4.6885699999999995
191.0,CONV_ASH,Ash,4.775
191.0,CONV_BHANDARI,Bhandari,5.433999999999999
191.0,CONV_JIMENO,Lopez Jimeno,4.393
191.0,CONV_KONYA_1972,Konya 1972,4.20605103873079
191.0,CONV_KONYA_1983,Konya 1983,4.329624713958809
191.0,CONV_RUSTAN,Rustan,5.785095929583533
191.0,CONV_TATIYA,Tatiya–Al-Ajmi,4.87097
201.0,CONV_ASH,Ash,5.025
201.0,CONV_BHANDARI,Bhandari,5.6739999999999995
201.0,CONV_JIMENO,Lopez Jimeno,4.623
201.0,CONV_KONYA_1972,Konya 1972,4.4262631349994175
201.0,CONV_KONYA_1983,Konya 1983,4.556306636155606
201.0,CONV_RUSTAN,Rustan,5.992122157098482
201.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.047369999999999
211.0,CONV_ASH,Ash,5.2749999999999995
211.0,CONV_BHANDARI,Bhandari,5.914
211.0,CONV_JIMENO,Lopez Jimeno,4.853
211.0,CONV_KONYA_1972,Konya 1972,4.646475231268045
211.0,CONV_KONYA_1983,Konya 1983,4.782988558352402
211.0,CONV_RUSTAN,Rustan,6.195968291824828
211.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.217769999999999
221.0,CONV_ASH,Ash,5.525
221.0,CONV_BHANDARI,Bhandari,6.154
221.0,CONV_JIMENO,Lopez Jimeno,5.083
221.0,CONV_KONYA_1972,Konya 1972,4.866687327536673
221.0,CONV_KONYA_1983,Konya 1983,5.009670480549199
221.0,CONV_RUSTAN,Rustan,6.396830622033859
221.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.3821699999999995
231.0,CONV_ASH,Ash,5.775
231.0,CONV_BHANDARI,Bhandari,6.394
