explosive_density_g_cm3,explosive_to_rock_density_ratio,model_id,model_name,burden_m
0.7,0.16018306636155605,CONV_ASH,Ash,6.275
0.7,0.16018306636155605,CONV_BHANDARI,Bhandari,6.874
0.7,0.16018306636155605,CONV_JIMENO,Lopez Jimeno,5.773
0.7,0.16018306636155605,CONV_KONYA_1972,Konya 1972,5.184286575397026
0.7,0.16018306636155605,CONV_KONYA_1983,Konya 1983,5.482942791762014
0.7,0.16018306636155605,CONV_RUSTAN,Rustan,6.983188559264405
0.7,0.16018306636155605,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
0.75,0.17162471395881007,CONV_ASH,Ash,6.275
0.75,0.17162471395881007,CONV_BHANDARI,Bhandari,6.874
0.75,0.17162471395881007,CONV_JIMENO,Lopez Jimeno,5.773
0.75,0.17162471395881007,CONV_KONYA_1972,Konya 1972,5.3036745192973465
0.75,0.17162471395881007,CONV_KONYA_1983,Konya 1983,5.551867276887872
0.75,0.17162471395881007,CONV_RUSTAN,Rustan,6.983188559264405
0.75,0.17162471395881007,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
0.8,0.18306636155606407,CONV_ASH,Ash,6.275
0.8,0.18306636155606407,CONV_BHANDARI,Bhandari,6.874
0.8,0.18306636155606407,CONV_JIMENO,Lopez Jimeno,5.773
0.8,0.18306636155606407,CONV_KONYA_1972,Konya 1972,5.41784209021119
0.8,0.18306636155606407,CONV_KONYA_1983,Konya 1983,5.62079176201373
0.8,0.18306636155606407,CONV_RUSTAN,Rustan,6.983188559264405
0.8,0.18306636155606407,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
0.85,0.19450800915331806,CONV_ASH,Ash,6.275
0.85,0.19450800915331806,CONV_BHANDARI,Bhandari,6.874
0.85,0.19450800915331806,CONV_JIMENO,Lopez Jimeno,5.773
0.85,0.19450800915331806,CONV_KONYA_1972,Konya 1972,5.5273236163425565
0.85,0.19450800915331806,CONV_KONYA_1983,Konya 1983,5.689716247139588
0.85,0.19450800915331806,CONV_RUSTAN,Rustan,6.983188559264405
0.85,0.19450800915331806,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
0.9,0.20594965675057209,CONV_ASH,Ash,6.275
0.9,0.20594965675057209,CONV_BHANDARI,Bhandari,6.874
0.9,0.20594965675057209,CONV_JIMENO,Lopez Jimeno,5.773
0.9,0.20594965675057209,CONV_KONYA_1972,Konya 1972,5.632571005310469
0.9,0.20594965675057209,CONV_KONYA_1983,Konya 1983,5.758640732265446
0.9,0.20594965675057209,CONV_RUSTAN,Rustan,6.983188559264405
0.9,0.20594965675057209,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
0.95,0.21739130434782608,CONV_ASH,Ash,6.275
0.95,0.21739130434782608,CONV_BHANDARI,Bhandari,6.874
0.95,0.21739130434782608,CONV_JIMENO,Lopez Jimeno,5.773
0.95,0.21739130434782608,CONV_KONYA_1972,Konya 1972,5.733970270208208
0.95,0.21739130434782608,CONV_KONYA_1983,Konya 1983,5.827565217391304
0.95,0.21739130434782608,CONV_RUSTAN,Rustan,6.983188559264405
0.95,0.21739130434782608,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
1.0,0.22883295194508008,CONV_ASH,Ash,6.275
1.0,0.22883295194508008,CONV_BHANDARI,Bhandari,6.874
1.0,0.22883295194508008,CONV_JIMENO,Lopez Jimeno,5.773
1.0,0.22883295194508008,CONV_KONYA_1972,Konya 1972,5.8318540563956205
1.0,0.22883295194508008,CONV_KONYA_1983,Konya 1983,5.896489702517162
1.0,0.22883295194508008,CONV_RUSTAN,Rustan,6.983188559264405
1.0,0.22883295194508008,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
