rock_density_g_cm3,explosive_to_rock_density_ratio,model_count,mean_burden_m,median_burden_m,minimum_burden_m,maximum_burden_m,range_m
1.8,0.4722222222222222,7,6.64486859720796,6.874,5.773,7.40685495452465,1.63385495452465
2.1,0.4047619047619047,7,6.534333938206073,6.874,5.773,7.039493293892391,1.266493293892391
2.4,0.3541666666666667,7,6.447441321004102,6.6515,5.773,6.983188559264405,1.210188559264405
2.6,0.3269230769230769,7,6.398911006091111,6.487384615384615,5.773,6.983188559264405,1.210188559264405
2.75,0.3090909090909091,7,6.366377494886679,6.3799636363636365,5.773,6.983188559264405,1.210188559264405
3.0,0.2833333333333333,7,6.318169777312421,6.257829881922543,5.773,6.983188559264405,1.210188559264405
3.3,0.25757575757575757,7,6.2683234821324145,6.069636363636364,5.773,6.983188559264405,1.210188559264405
3.75,0.22666666666666666,7,6.2059394027951935,5.88344,5.773,6.983188559264405,1.210188559264405
4.0,0.2125,7,6.1762470160648,5.839369999999999,5.691070553189201,6.983188559264405,1.2921180060752038
4.37,0.19450800915331806,7,6.137371203249507,5.839369999999999,5.5273236163425565,6.983188559264405,1.4558649429218482
4.8,0.17708333333333334,7,6.098295246724808,5.839369999999999,5.358758167809247,6.983188559264405,1.6244303914551574
5.3,0.16037735849056603,7,6.059290373085772,5.839369999999999,5.186360844788828,6.983188559264405,1.7968277144755769
