rock_density_g_cm3,explosive_to_rock_density_ratio,model_id,model_name,burden_m
1.8,0.4722222222222222,CONV_ASH,Ash,6.275
1.8,0.4722222222222222,CONV_BHANDARI,Bhandari,6.874
1.8,0.4722222222222222,CONV_JIMENO,Lopez Jimeno,5.773
1.8,0.4722222222222222,CONV_KONYA_1972,Konya 1972,7.40685495452465
1.8,0.4722222222222222,CONV_KONYA_1983,Konya 1983,7.362666666666668
1.8,0.4722222222222222,CONV_RUSTAN,Rustan,6.983188559264405
1.8,0.4722222222222222,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
2.1,0.4047619047619047,CONV_ASH,Ash,6.275
2.1,0.4047619047619047,CONV_BHANDARI,Bhandari,6.874
2.1,0.4047619047619047,CONV_JIMENO,Lopez Jimeno,5.773
2.1,0.4047619047619047,CONV_KONYA_1972,Konya 1972,7.039493293892391
2.1,0.4047619047619047,CONV_KONYA_1983,Konya 1983,6.9562857142857135
2.1,0.4047619047619047,CONV_RUSTAN,Rustan,6.983188559264405
2.1,0.4047619047619047,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
2.4,0.3541666666666667,CONV_ASH,Ash,6.275
2.4,0.3541666666666667,CONV_BHANDARI,Bhandari,6.874
2.4,0.3541666666666667,CONV_JIMENO,Lopez Jimeno,5.773
2.4,0.3541666666666667,CONV_KONYA_1972,Konya 1972,6.736030687764312
2.4,0.3541666666666667,CONV_KONYA_1983,Konya 1983,6.6515
2.4,0.3541666666666667,CONV_RUSTAN,Rustan,6.983188559264405
2.4,0.3541666666666667,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
2.6,0.3269230769230769,CONV_ASH,Ash,6.275
2.6,0.3269230769230769,CONV_BHANDARI,Bhandari,6.874
2.6,0.3269230769230769,CONV_JIMENO,Lopez Jimeno,5.773
2.6,0.3269230769230769,CONV_KONYA_1972,Konya 1972,6.560433867988754
2.6,0.3269230769230769,CONV_KONYA_1983,Konya 1983,6.487384615384615
2.6,0.3269230769230769,CONV_RUSTAN,Rustan,6.983188559264405
2.6,0.3269230769230769,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
2.75,0.3090909090909091,CONV_ASH,Ash,6.275
2.75,0.3090909090909091,CONV_BHANDARI,Bhandari,6.874
2.75,0.3090909090909091,CONV_JIMENO,Lopez Jimeno,5.773
2.75,0.3090909090909091,CONV_KONYA_1972,Konya 1972,6.4401202685787196
2.75,0.3090909090909091,CONV_KONYA_1983,Konya 1983,6.3799636363636365
2.75,0.3090909090909091,CONV_RUSTAN,Rustan,6.983188559264405
2.75,0.3090909090909091,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
3.0,0.2833333333333333,CONV_ASH,Ash,6.275
