ucs_mpa,model_id,model_name,burden_m
40.0,CONV_ASH,Ash,6.275
40.0,CONV_BHANDARI,Bhandari,6.874
40.0,CONV_JIMENO,Lopez Jimeno,7.0280000000000005
40.0,CONV_KONYA_1972,Konya 1972,5.5273236163425565
40.0,CONV_KONYA_1983,Konya 1983,5.689716247139588
40.0,CONV_RUSTAN,Rustan,6.983188559264405
40.0,CONV_TATIYA,Tatiya–Al-Ajmi,6.94086
54.999,CONV_ASH,Ash,6.275
54.999,CONV_BHANDARI,Bhandari,6.874
54.999,CONV_JIMENO,Lopez Jimeno,7.0280000000000005
54.999,CONV_KONYA_1972,Konya 1972,5.5273236163425565
54.999,CONV_KONYA_1983,Konya 1983,5.689716247139588
54.999,CONV_RUSTAN,Rustan,6.983188559264405
54.999,CONV_TATIYA,Tatiya–Al-Ajmi,6.94086
55.0,CONV_ASH,Ash,6.275
55.0,CONV_BHANDARI,Bhandari,6.874
55.0,CONV_JIMENO,Lopez Jimeno,7.0280000000000005
55.0,CONV_KONYA_1972,Konya 1972,5.5273236163425565
55.0,CONV_KONYA_1983,Konya 1983,5.689716247139588
55.0,CONV_RUSTAN,Rustan,6.983188559264405
55.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
69.999,CONV_ASH,Ash,6.275
69.999,CONV_BHANDARI,Bhandari,6.874
69.999,CONV_JIMENO,Lopez Jimeno,7.0280000000000005
69.999,CONV_KONYA_1972,Konya 1972,5.5273236163425565
69.999,CONV_KONYA_1983,Konya 1983,5.689716247139588
69.999,CONV_RUSTAN,Rustan,6.983188559264405
69.999,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
70.0,CONV_ASH,Ash,6.275
70.0,CONV_BHANDARI,Bhandari,6.874
70.0,CONV_JIMENO,Lopez Jimeno,5.773
70.0,CONV_KONYA_1972,Konya 1972,5.5273236163425565
70.0,CONV_KONYA_1983,Konya 1983,5.689716247139588
70.0,CONV_RUSTAN,Rustan,6.983188559264405
70.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
85.0,CONV_ASH,Ash,6.275
85.0,CONV_BHANDARI,Bhandari,6.874
85.0,CONV_JIMENO,Lopez Jimeno,5.773
85.0,CONV_KONYA_1972,Konya 1972,5.5273236163425565
85.0,CONV_KONYA_1983,Konya 1983,5.689716247139588
85.0,CONV_RUSTAN,Rustan,6.983188559264405
85.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
110.0,CONV_ASH,Ash,6.275
110.0,CONV_BHANDARI,Bhandari,6.874
110.0,CONV_JIMENO,Lopez Jimeno,5.773
110.0,CONV_KONYA_1972,Konya 1972,5.5273236163425565
110.0,CONV_KONYA_1983,Konya 1983,5.689716247139588
110.0,CONV_RUSTAN,Rustan,6.983188559264405
110.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.839369999999999
110.001,CONV_ASH,Ash,6.275
110.001,CONV_BHANDARI,Bhandari,6.874
110.001,CONV_JIMENO,Lopez Jimeno,5.773
110.001,CONV_KONYA_1972,Konya 1972,5.5273236163425565
110.001,CONV_KONYA_1983,Konya 1983,5.689716247139588
110.001,CONV_RUSTAN,Rustan,6.983188559264405
110.001,CONV_TATIYA,Tatiya–Al-Ajmi,5.08908
180.0,CONV_ASH,Ash,6.275
180.0,CONV_BHANDARI,Bhandari,6.874
180.0,CONV_JIMENO,Lopez Jimeno,5.773
180.0,CONV_KONYA_1972,Konya 1972,5.5273236163425565
180.0,CONV_KONYA_1983,Konya 1983,5.689716247139588
180.0,CONV_RUSTAN,Rustan,6.983188559264405
180.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.08908
180.001,CONV_ASH,Ash,6.275
180.001,CONV_BHANDARI,Bhandari,6.874
180.001,CONV_JIMENO,Lopez Jimeno,5.271
180.001,CONV_KONYA_1972,Konya 1972,5.5273236163425565
180.001,CONV_KONYA_1983,Konya 1983,5.689716247139588
180.001,CONV_RUSTAN,Rustan,6.983188559264405
180.001,CONV_TATIYA,Tatiya–Al-Ajmi,5.08908
220.0,CONV_ASH,Ash,6.275
220.0,CONV_BHANDARI,Bhandari,6.874
220.0,CONV_JIMENO,Lopez Jimeno,5.271
220.0,CONV_KONYA_1972,Konya 1972,5.5273236163425565
220.0,CONV_KONYA_1983,Konya 1983,5.689716247139588
220.0,CONV_RUSTAN,Rustan,6.983188559264405
220.0,CONV_TATIYA,Tatiya–Al-Ajmi,5.08908
